,entité,freq
0,France,27433
1,la France,22015
2,Sénat,15745
3,Etat,15206
4,Français,9482
5,La France,8739
6,République,6387
7,RIP,6299
8,Europe,6033
9,Sanctionner,5654
10,Suisse,4905
11,l'Europe,4630
12,Parlement,4218
13,Paris,4199
14,Supprimer,4160
15,Assemblée Nationale,3929
16,CESE,3694
17,État,3378
18,Canada,3361
19,Diminuer,3285
20,Président,3261
21,de France,3100
22,Allemagne,3023
23,Assemblée,2970
24,Président de la République,2866
25,Appliquer,2619
26,OUI,2455
27,Limiter,2442
28,état,2440
29,Afrique,2308
30,Redonner,2255
31,Maire,2201
32,Syndicats,2176
33,Réduire,2046
34,Député,2026
35,Cour des Comptes,1977
36,Etre,1921
37,USA,1885
38,SDF,1727
39,Sinon,1721
40,Belgique,1714
41,Encourager,1616
42,Nation,1612
43,Région,1605
44,Assemblée nationale,1575
45,Consulter,1564
46,"Conseil économique, social et environnemental",1512
47,Rendre,1495
48,Sénateurs,1494
49,Proportionnelle,1479
50,Comptabiliser,1468
51,Celles,1446
52,Régions,1317
53,Australie,1316
54,ENA,1287
55,Aider,1204
56,l’Etat,1195
57,Alsace,1160
58,Macron,1120
59,Italie,1109
60,président de la République,1046
61,Brexit,1032
62,Stop,1028
63,Fraternité,1026
64,Informer,1025
65,Liberté,1007
66,france,994
67,Conseil Economique,993
68,l'Afrique,955
69,Tolérance zéro,894
70,Respect,893
71,Demander,889
72,Social,877
73,Stopper,874
74,Angleterre,868
75,président de la république,860
76,Constitution,851
77,Conseil,832
78,Police,832
79,Députés,816
80,Education Nationale,814
81,RIC,804
82,Service civique,802
83,Démocratie,780
84,assemblée nationale,770
85,TIG,766
86,Obliger,762
87,Homophobie,748
88,Exiger,746
89,Mairie,743
90,Conseil Constitutionnel,737
91,Mettre,734
92,Amendes,732
93,Islam,732
94,Non,727
95,Conseil économique et social,724
96,RESPECT,721
97,Former,715
98,assemblée,708
99,Département,707
100,CSG,706
101,Etablir,698
102,Pays,682
103,Merci,682
104,Référendums,681
105,Tolérance,673
106,RAS,668
107,Gilets Jaunes,659
108,Lutter,647
109,Cour des comptes,645
110,EDUCATION,645
111,Européen,636
112,LREM,635
113,Egalité,635
114,CMU,631
115,Union Européenne,628
116,Syrie,609
117,Interdire,602
118,Favoriser,601
119,français,601
120,Privilégier,597
121,CES,593
122,la france,592
123,syndicats,588
124,Idem,588
125,Méditerranée,572
126,CESER,570
127,FRANCE,567
128,Européens,566
129,Environnemental,562
130,Arrêter,561
131,Laïcité,557
132,L'Europe,556
133,TVA,554
134,Verbaliser,554
135,SNCF,549
136,Obligation,538
137,Faut,538
138,Ecole,533
139,Constitution de la République française,530
140,Société,528
141,CFDT,526
142,Benalla,514
143,Française,513
144,CAF,506
145,Discrimination,505
146,Calais,502
147,Moselle,498
148,Renvoyer,497
149,Bruxelles,494
150,Aujourd’hui,491
151,ONU,485
152,Voter,482
153,Mayotte,480
154,APL,479
155,Racisme,468
156,Chine,465
157,Instaurer,463
158,Réprimer,456
159,Espagne,453
160,Suède,452
161,l’Europe,452
162,DEVOIRS,451
163,Sarkozy,445
164,Européenne,440
165,Peuple,439
166,République Française,439
167,Contrôler,435
168,Lois,435
169,Ministres,431
170,Emmanuel Macron,427
171,Etats,426
172,Francais,425
173,ETAT,425
174,Conseil constitutionnel,423
175,Eglise,420
176,Marseille,418
177,Vaste,416
178,Rôle,416
179,Entraide,413
180,Réformer,411
181,Bénévolat,410
182,ELUS,402
183,De Gaulle,401
184,Grand Débat,399
185,Referendum,393
186,Hollande,393
187,Maghreb,391
188,CGT,388
189,Aides,384
190,Faire,383
191,Quotas,382
192,Rappel,382
193,sanctionner,380
194,Monsieur,376
195,proportionnelle,373
196,Associations,372
197,République française,366
198,Sénateur,366
199,GPA,365
200,Françaises,362
201,Bonne,359
202,Service civique obligatoire,358
203,Gouvernement,350
204,Renforcer,349
205,Suisses,348
206,CSA,347
207,Grèce,347
208,Japon,342
209,Rappeler,341
210,Bretagne,338
211,Libye,334
212,Union européenne,333
213,Citoyen,333
214,Histoire,332
215,Danemark,331
216,Ecouter,331
217,Réaffirmer,325
218,l’Assemblée Nationale,324
219,Bercy,324
220,Blanc,323
221,Turquie,322
222,Etats Unis,319
223,Remettre,318
224,canada,317
225,TOUTES,316
226,EDUQUER,316
227,Fusionner,315
228,l'Italie,314
229,l'ONU,313
230,Lyon,312
231,homophobie,311
232,Maires,311
233,Donner,309
234,Communes,307
235,école de la République,305
236,Mr Macron,305
237,MAIRE,304
238,PMA,304
239,Algérie,303
240,Imposer,303
241,EHPAD,302
242,SMIC,302
243,Russie,298
244,Fillon,297
245,NSP,296
246,Developper,296
247,Conseil économique,296
248,L’Etat,295
249,EDF,294
250,Guyane,292
251,INSEE,290
252,Témoin,288
253,Chirac,287
254,Départements,286
255,Décentraliser,286
256,Eduquer,284
257,MAIS,281
258,Afficher,279
259,suisse,278
260,Oui,277
261,conseil économique et social,276
262,Singapour,275
263,Président de la république,274
264,Ouvrir,273
265,Grande Bretagne,272
266,Quelles,270
267,traité de Lisbonne,270
